path,walletCount,churnPercent,changedWallets,staffRateUsdPerHour,ethPriceUsd,l2GasPriceGwei,measuredIssuerGas,measuredUserGas,transactionCount,observedAutomationHoursProxy,staffCostUsd,l1SecurityFeeProxyUsd,issuerPaidUsd,userPaidUsd,totalSystemCostUsd
ilal-v1-cnf-eas,100000,5,5000,100,2000,0.01,590615000,1210505000,10000,0.25,25,0,36.8123,24.2101,61.022400000000005
ilal-v2-zk-policy-grant,100000,5,5000,100,2000,0.01,138493,307600000,5001,0.25,25,0,25.00276986,6.152,31.154769860000002
benchmark-only-onchain-allowlist,100000,5,5000,100,2000,0.01,115270000,0,5000,0.25,25,0,27.3054,0,27.3054
ilal-v1-cnf-eas,100000,5,5000,100,2000,0.1,590615000,1210505000,10000,0.25,25,0,143.123,242.101,385.224
ilal-v2-zk-policy-grant,100000,5,5000,100,2000,0.1,138493,307600000,5001,0.25,25,0,25.0276986,61.52,86.5476986
benchmark-only-onchain-allowlist,100000,5,5000,100,2000,0.1,115270000,0,5000,0.25,25,0,48.054,0,48.054
ilal-v1-cnf-eas,100000,5,5000,100,2000,1,590615000,1210505000,10000,0.25,25,0,1206.23,2421.01,3627.2400000000002
ilal-v2-zk-policy-grant,100000,5,5000,100,2000,1,138493,307600000,5001,0.25,25,0,25.276986,615.2,640.476986
benchmark-only-onchain-allowlist,100000,5,5000,100,2000,1,115270000,0,5000,0.25,25,0,255.54000000000002,0,255.54000000000002
ilal-v1-cnf-eas,100000,5,5000,100,3000,0.01,590615000,1210505000,10000,0.25,25,0,42.718450000000004,36.31515,79.0336
ilal-v2-zk-policy-grant,100000,5,5000,100,3000,0.01,138493,307600000,5001,0.25,25,0,25.00415479,9.228,34.23215479
benchmark-only-onchain-allowlist,100000,5,5000,100,3000,0.01,115270000,0,5000,0.25,25,0,28.4581,0,28.4581
ilal-v1-cnf-eas,100000,5,5000,100,3000,0.1,590615000,1210505000,10000,0.25,25,0,202.1845,363.1515,565.336
ilal-v2-zk-policy-grant,100000,5,5000,100,3000,0.1,138493,307600000,5001,0.25,25,0,25.0415479,92.28,117.3215479
benchmark-only-onchain-allowlist,100000,5,5000,100,3000,0.1,115270000,0,5000,0.25,25,0,59.581,0,59.581
ilal-v1-cnf-eas,100000,5,5000,100,3000,1,590615000,1210505000,10000,0.25,25,0,1796.845,3631.5150000000003,5428.360000000001
ilal-v2-zk-policy-grant,100000,5,5000,100,3000,1,138493,307600000,5001,0.25,25,0,25.415479,922.8000000000001,948.2154790000001
benchmark-only-onchain-allowlist,100000,5,5000,100,3000,1,115270000,0,5000,0.25,25,0,370.81000000000006,0,370.81000000000006
ilal-v1-cnf-eas,100000,5,5000,100,4000,0.01,590615000,1210505000,10000,0.25,25,0,48.6246,48.4202,97.04480000000001
ilal-v2-zk-policy-grant,100000,5,5000,100,4000,0.01,138493,307600000,5001,0.25,25,0,25.00553972,12.304,37.309539720000004
benchmark-only-onchain-allowlist,100000,5,5000,100,4000,0.01,115270000,0,5000,0.25,25,0,29.6108,0,29.6108
ilal-v1-cnf-eas,100000,5,5000,100,4000,0.1,590615000,1210505000,10000,0.25,25,0,261.246,484.202,745.448
ilal-v2-zk-policy-grant,100000,5,5000,100,4000,0.1,138493,307600000,5001,0.25,25,0,25.0553972,123.04,148.0953972
benchmark-only-onchain-allowlist,100000,5,5000,100,4000,0.1,115270000,0,5000,0.25,25,0,71.108,0,71.108
ilal-v1-cnf-eas,100000,5,5000,100,4000,1,590615000,1210505000,10000,0.25,25,0,2387.46,4842.02,7229.4800000000005
ilal-v2-zk-policy-grant,100000,5,5000,100,4000,1,138493,307600000,5001,0.25,25,0,25.553972,1230.4,1255.953972
benchmark-only-onchain-allowlist,100000,5,5000,100,4000,1,115270000,0,5000,0.25,25,0,486.08000000000004,0,486.08000000000004
ilal-v1-cnf-eas,100000,5,5000,200,2000,0.01,590615000,1210505000,10000,0.25,50,0,61.8123,24.2101,86.0224
ilal-v2-zk-policy-grant,100000,5,5000,200,2000,0.01,138493,307600000,5001,0.25,50,0,50.00276986,6.152,56.15476986
benchmark-only-onchain-allowlist,100000,5,5000,200,2000,0.01,115270000,0,5000,0.25,50,0,52.3054,0,52.3054
ilal-v1-cnf-eas,100000,5,5000,200,2000,0.1,590615000,1210505000,10000,0.25,50,0,168.123,242.101,410.224
ilal-v2-zk-policy-grant,100000,5,5000,200,2000,0.1,138493,307600000,5001,0.25,50,0,50.0276986,61.52,111.5476986
benchmark-only-onchain-allowlist,100000,5,5000,200,2000,0.1,115270000,0,5000,0.25,50,0,73.054,0,73.054
ilal-v1-cnf-eas,100000,5,5000,200,2000,1,590615000,1210505000,10000,0.25,50,0,1231.23,2421.01,3652.2400000000002
ilal-v2-zk-policy-grant,100000,5,5000,200,2000,1,138493,307600000,5001,0.25,50,0,50.276986,615.2,665.476986
benchmark-only-onchain-allowlist,100000,5,5000,200,2000,1,115270000,0,5000,0.25,50,0,280.54,0,280.54
ilal-v1-cnf-eas,100000,5,5000,200,3000,0.01,590615000,1210505000,10000,0.25,50,0,67.71845,36.31515,104.0336
ilal-v2-zk-policy-grant,100000,5,5000,200,3000,0.01,138493,307600000,5001,0.25,50,0,50.00415479,9.228,59.23215479
benchmark-only-onchain-allowlist,100000,5,5000,200,3000,0.01,115270000,0,5000,0.25,50,0,53.4581,0,53.4581
ilal-v1-cnf-eas,100000,5,5000,200,3000,0.1,590615000,1210505000,10000,0.25,50,0,227.1845,363.1515,590.336
ilal-v2-zk-policy-grant,100000,5,5000,200,3000,0.1,138493,307600000,5001,0.25,50,0,50.0415479,92.28,142.32154789999998
benchmark-only-onchain-allowlist,100000,5,5000,200,3000,0.1,115270000,0,5000,0.25,50,0,84.581,0,84.581
ilal-v1-cnf-eas,100000,5,5000,200,3000,1,590615000,1210505000,10000,0.25,50,0,1821.845,3631.5150000000003,5453.360000000001
ilal-v2-zk-policy-grant,100000,5,5000,200,3000,1,138493,307600000,5001,0.25,50,0,50.415479,922.8000000000001,973.2154790000001
benchmark-only-onchain-allowlist,100000,5,5000,200,3000,1,115270000,0,5000,0.25,50,0,395.81000000000006,0,395.81000000000006
ilal-v1-cnf-eas,100000,5,5000,200,4000,0.01,590615000,1210505000,10000,0.25,50,0,73.6246,48.4202,122.04480000000001
ilal-v2-zk-policy-grant,100000,5,5000,200,4000,0.01,138493,307600000,5001,0.25,50,0,50.00553972,12.304,62.309539720000004
benchmark-only-onchain-allowlist,100000,5,5000,200,4000,0.01,115270000,0,5000,0.25,50,0,54.6108,0,54.6108
ilal-v1-cnf-eas,100000,5,5000,200,4000,0.1,590615000,1210505000,10000,0.25,50,0,286.246,484.202,770.448
ilal-v2-zk-policy-grant,100000,5,5000,200,4000,0.1,138493,307600000,5001,0.25,50,0,50.0553972,123.04,173.0953972
benchmark-only-onchain-allowlist,100000,5,5000,200,4000,0.1,115270000,0,5000,0.25,50,0,96.108,0,96.108
ilal-v1-cnf-eas,100000,5,5000,200,4000,1,590615000,1210505000,10000,0.25,50,0,2412.46,4842.02,7254.4800000000005
ilal-v2-zk-policy-grant,100000,5,5000,200,4000,1,138493,307600000,5001,0.25,50,0,50.553972,1230.4,1280.953972
benchmark-only-onchain-allowlist,100000,5,5000,200,4000,1,115270000,0,5000,0.25,50,0,511.08000000000004,0,511.08000000000004
ilal-v1-cnf-eas,100000,10,10000,50,2000,0.01,1181230000,2421010000,20000,0.25,12.5,0,36.1246,48.4202,84.54480000000001
ilal-v2-zk-policy-grant,100000,10,10000,50,2000,0.01,138493,615200000,10001,0.25,12.5,0,12.50276986,12.304,24.806769860000003
benchmark-only-onchain-allowlist,100000,10,10000,50,2000,0.01,230540000,0,10000,0.25,12.5,0,17.1108,0,17.1108
ilal-v1-cnf-eas,100000,10,10000,50,2000,0.1,1181230000,2421010000,20000,0.25,12.5,0,248.746,484.202,732.948
